frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
0,272.6034398034398,661.1714987714988,263.90384280994607,1007.5338202051817,311.42347119123366,1225.533934252386,431.78727303015154,1340.2407129768449,166.26423369737617,145.91839937369662
1,272.79729514717576,661.3875894988067,264.80059523809524,1006.6925770308122,312.0992947290274,1226.030809205642,433.075670995671,1340.212121212121,166.5042851410407,145.51392971120364
2,274.4051666666666,661.656,265.8669052488071,1006.773517382413,313.5789949385394,1226.7791033984092,434.64176706827305,1340.9580722891567,166.34666235646722,145.55997058306298
3,274.38064622485985,662.6763930102209,266.6409984067977,1007.9458311205523,314.1350233728874,1226.606256742179,435.69434658614324,1341.0813621875523,166.46130588839827,145.53542193805566
4,275.13481902955584,662.3486644539275,266.64380403458216,1007.8276657060519,314.6007386888273,1227.8895660203139,435.6737986075734,1341.601120733571,166.2981401747948,145.4980752273564
5,275.4638379942141,662.3265830922533,266.82695507487523,1008.5721944906636,315.1112917795844,1227.4592592592592,435.6713240186294,1340.8428143712574,166.13142029208484,145.6826080781886
6,274.2437206287473,662.2694863069195,266.66206261510126,1007.905709023941,314.1256799849934,1226.7184393172013,435.7751228605321,1340.8561260803253,166.50472154743264,145.41395205051518
7,273.8524829600779,661.6217137293087,265.47137861218476,1007.2210565065341,313.1075085324232,1226.1551004929843,434.5536343259686,1339.407780979827,166.33558453335837,145.27580148438634
8,272.74396362496077,661.4195672624647,264.8840274117027,1007.7213143560007,312.1315545673522,1226.2747822864553,433.5024522239134,1339.7420936918652,166.501147003889,145.27105842094977
9,271.9567901234568,661.0202595758151,264.39467530131316,1006.7211728728188,311.8620943952802,1225.7254793510324,432.62535684298905,1339.5274559193954,166.51762775021868,145.52935158740797
10,271.7153041825095,660.9226869455006,263.7298321602599,1006.3779101245262,311.0713204691638,1225.1848278471432,431.75591810620597,1339.2786308381317,166.46735362119745,145.60043663934897
11,271.3687087956263,660.4106769577102,263.87714494341,1006.184008762322,310.76168670101123,1224.9736691471094,431.769361125233,1338.8769700050839,166.66379914400747,145.36275951094362
12,272.1332676842278,661.1718365337272,264.1966426858513,1006.1228555617045,311.5544724770642,1225.0602064220184,432.44360013508947,1338.8740290442418,166.47649766866368,145.47877150675055
13,273.3353927625772,659.7814062959693,264.49755301794454,1005.1393873481965,311.92363840539025,1224.99663110612,432.9243711477594,1338.8259203731466,166.36117322177685,145.4237216064826
14,273.7321234682798,659.3404684349309,264.6102900930487,1004.3990147783251,311.93954248366015,1224.2627087872183,432.7920301009064,1338.6712844193603,166.33723855089735,145.5794989575008
15,273.3141875306824,659.6557028309605,264.75408942202836,1005.615957833515,311.8506944444444,1224.1206140350878,432.8632305878389,1338.8413340070742,166.41914161653156,145.6345929250316
16,273.0875305623472,659.4922575387122,263.6846994535519,1003.6617486338798,310.7008737683584,1224.552333147425,431.86484730344375,1339.1435997400908,166.41905939290436,145.41903269482793
17,271.7702297702298,657.9620379620379,262.43127616967047,1004.6943382486801,309.29786843072395,1224.7175670709298,429.5660124140245,1338.1914108371077,166.43244128085018,145.35973885507073
18,270.3189753630282,658.2090063631914,260.2001055966209,1002.6622668074622,306.5556179775281,1223.0241573033709,425.8326019827726,1336.4648139119126,166.43774899808807,145.4429589200765
19,268.6038828871144,656.4698606544544,257.9469939523301,1002.4329420135183,303.78383952006,1221.1940382452194,424.1293817718292,1336.287922243467,166.40170164832847,145.55612847662374
20,266.7964129907901,655.6994667959283,255.93425482899167,999.7807903597377,301.4130272489735,1220.173945502053,421.4494436381229,1335.6968230930493,166.53235713066553,145.56179008138338
21,265.1706615532119,654.2665388302972,254.2043888284367,998.9042437431991,299.5905900208689,1218.9328400682982,419.0162983858329,1333.5238990753799,166.522314500083,145.4716363066886
22,264.2048645119164,653.4175644792687,252.77123082678636,998.6006359895248,297.97342317050345,1217.9723002058768,417.3025536952477,1332.6462032809063,166.4598489770179,145.50332933179462
23,262.451682413393,652.3071440411072,251.1748375664501,997.7172671785784,295.95,1216.692528735632,415.3597857023271,1331.2089402310396,166.57378367111096,145.35794097715285
24,260.80804707379133,652.3715012722646,249.42353998203052,995.9225516621742,294.2208679593721,1216.013296398892,412.9301527907702,1331.472248207047,166.5972020793324,145.7096060989917
25,259.24548035260716,650.8030778425219,247.61302054919074,995.0681942171304,291.6859011348336,1214.1917676476244,410.6360841423948,1329.6546925566342,166.69244211627242,145.52001218326325
26,257.36706254948535,649.689152810768,245.03726601408206,995.6328353082603,289.14046699760985,1212.7615370472513,408.0836425479282,1330.0066481137908,166.47706113536725,146.06980287203365
27,256.0884810504327,650.489107729036,243.66489078316462,993.7556384301189,287.62488546820595,1213.1900311526479,405.8282828282828,1328.6560520458825,166.59895303258432,145.6571136794583
