frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
0,501.009860664523,581.4105037513397,501.88903537684024,924.2175346077785,514.570126227209,1135.9270687237026,513.6936329588015,1301.8504369538077,176.71910476563107,176.26949915715076
1,501.3574660633484,581.818142641672,503.18528027385537,924.5697475395806,515.3828451882845,1135.887029288703,514.4789855072464,1301.8850241545892,177.00200548603866,176.38449073673914
2,501.98914007092196,581.7801418439716,503.3861003861004,924.3584298584299,516.1163389513108,1135.8946629213483,514.8865877712032,1301.5880177514794,176.78973525182676,176.13086386714193
3,502.1772865192891,581.6228868660598,503.481935483871,924.2333333333332,516.0458479532164,1135.6180116959063,515.2953494034574,1301.527879230582,176.81673471368228,176.339377873659
4,502.17783505154637,581.4948453608248,503.2806788511749,924.2021322889468,515.9643455372099,1135.2711174922229,515.0736688548504,1301.4473620228543,176.74546696591534,176.25399503197946
5,500.89995631280027,581.0653123634775,502.2668416447944,923.3197725284339,514.9717912552892,1134.7562294311235,514.339202739056,1300.994375152849,176.7901285621222,176.34327621829257
6,499.5718015665796,579.8030896431679,500.2937204591492,922.5304974116586,513.4769195082347,1134.1389468800742,513.0858283433133,1300.3575349301395,176.55576961509962,176.3002728957514
7,497.7635105923043,579.3298746217034,498.69481090589267,921.6510554089709,512.2154528478058,1133.5224089635853,511.7189781021898,1299.646715328467,176.50447715240279,176.17736961323442
8,496.44176706827307,578.9323962516734,497.58752204585534,921.2777777777778,510.82376009227215,1132.6648212226066,510.6196549137284,1298.7864466116528,176.60879365515538,176.34664158156474
9,494.99425287356314,578.2959770114942,496.05034375693054,920.9518740297183,509.52147093712927,1132.0903914590747,509.38680926916214,1298.3982683982683,176.5259338948687,176.30295147935792
10,493.68967072620654,578.5575101488498,495.0358592692828,920.5074424898512,508.78952313836027,1131.7831806436457,508.78098053707805,1297.9263365360925,176.5009658815993,176.27245903028208
11,492.49619175627237,578.611559139785,494.2377434519812,920.688157600179,508.0099883855981,1131.6457607433217,507.9700659563673,1298.1055301877218,176.5564757245593,176.2510373979481
12,491.70082058106004,578.4295852738966,494.10710452886883,920.8237819274522,507.32638888888886,1131.8220785440612,507.7597014925373,1297.9865671641792,176.8176972279816,176.56445132215433
13,491.64538545059713,578.5652551574375,493.3137384412153,921.3309114927345,507.3431994362227,1131.8170072821235,507.63757210935535,1298.1339352896914,176.4655985434908,176.2881339429141
14,491.0941607412195,578.413488472312,492.8199464524766,921.2045961624274,507.09322033898303,1131.969868173258,507.2738979692917,1298.0319465081723,176.4142311282965,176.18811581924643
15,490.98979138925876,578.12982689747,493.32561629153264,920.5341907824222,507.44000917641654,1131.4771736636842,507.53823529411767,1297.7073529411764,176.5628476886525,176.2058479087932
16,491.9797849462365,577.7683870967742,494.0911240060176,919.8738448312915,508.2129431358553,1131.180585296217,508.7834694382578,1297.2838406335065,176.53015947952508,176.37335415575518
17,493.4061824470384,578.0551232166018,495.4069690992768,920.4453210607056,509.31117533718685,1131.4055876685934,510.0308502633559,1297.8936543767243,176.56394832919432,176.47680918814748
18,494.970703125,578.0128038194445,496.827393431167,920.9806662007919,511.32374100719426,1131.8069544364507,511.70981262327416,1297.5976331360946,176.37672517591807,176.19997452495517
19,496.3596549435965,578.6989604069895,498.01561439239646,921.0246662140755,512.7164861612514,1132.041155234657,513.3260287314341,1298.017044071098,176.2919770189354,176.2252341996223
20,497.6853192890059,578.963133640553,499.95006485084303,921.0008646779074,514.5481688826685,1132.494984837882,515.0309381237524,1298.618263473054,176.43086552387695,176.21800289578036
21,498.68525809273837,579.501312335958,500.57535460992904,921.7373670212766,515.6197953842493,1132.9950035688794,516.2584982242516,1299.0063419583967,176.24306049383065,176.1470669027194
