frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
0,507.2703150912106,401.4809286898839,552.3008408595454,583.1541575833074,602.8505560075943,836.5326823976133,686.8679100664282,1217.5983648441493,177.36145393991507,178.8488887671513
1,508.9515491786234,402.39634019546685,553.2058643860721,584.3619425778863,604.2303340517242,837.6864224137931,687.836864947664,1218.1304569823844,177.71905856724234,178.99378664722235
2,509.6993979655387,404.2376998131617,554.5687480775146,585.8649646262688,605.3086921202274,838.9130787977255,689.0460794297352,1219.1484215885946,177.46174429031083,178.91857958035098
3,510.4612515540821,405.87215084956483,555.3256386580487,587.2056017236073,606.3860878943111,840.0234564572661,690.0894267515923,1220.1462420382165,177.52147371302783,178.9997757349474
4,512.4283634851321,406.9411520066542,556.7466381418093,588.2289119804401,607.9147434156937,841.0448004344285,691.174789487114,1221.044143914264,177.70438495295997,179.08315504160487
5,515.0394736842105,407.47096908939017,559.1634146341463,588.7128048780488,609.8891906572514,841.6708310700706,692.3618949003366,1222.110535852964,177.65647576124144,179.1076841629536
6,516.4309484193012,408.1083610648918,560.3746214415506,588.8903694730467,611.4812805208899,841.9831795984808,693.7465557577333,1222.5471796204836,177.75390824113694,179.2183797671901
7,516.8,408.87716371220023,561.2736303431668,590.0337146297411,612.568243610658,842.294725394236,694.932899869961,1222.8145643693108,177.7005577714542,179.28036239397525
8,517.1541017653167,410.02866043613705,561.8156071105755,590.5363061163001,613.8678003291278,842.9487109160724,696.3014553014553,1223.3900727650728,177.75500564322985,179.42633026596306
9,517.3431146510165,411.47432404108156,562.5329719963867,591.5100873230955,615.1831411312465,843.8476112026359,697.8617077003667,1224.261917234154,177.6952448589667,179.52379553800378
10,519.6982668615577,412.4213823345166,564.7906976744187,592.2745974955277,617.644921552436,844.3914120561519,699.5118421052632,1224.6681578947369,177.76516832633305,179.69077240290605
11,522.8387028848178,412.57212044640977,567.942694269427,592.2367236723672,620.484756934908,844.3455094754188,701.7437778359969,1224.8666492009431,177.67990519940145,179.71824855121395
12,524.609539890249,412.98965808357957,569.8543400713436,592.2425683709869,623.0250481695568,844.1687310762455,703.7466596803772,1224.699240241027,177.75175314750203,179.94118738060743
13,524.9826234371689,413.2210214028396,570.7661602621388,592.4393803991659,625.0088105726873,843.7709251101321,705.9103411795821,1224.596932028564,177.8484190033156,179.8146055216426
14,525.2304604985213,414.0354879594423,571.417556346382,592.4896204033215,626.26512013256,843.2891466445733,707.2800737036063,1223.8239010265859,177.82510464498324,179.68284319731893
15,524.6820772640912,414.495883470551,571.3426035502958,592.2692307692307,627.0306375931549,842.6961081976262,708.5488702049396,1222.9553336836573,177.83020577818505,179.56266241772275
16,522.847803014222,414.37911271492254,570.6254140319181,591.2881662149955,627.0213473800943,841.4011644025506,709.4945810203542,1221.522072429289,177.59340893130056,179.53483510455132
17,519.9193617021276,414.28723404255317,568.6495956873315,590.6909254267745,626.5230940456316,839.918753478019,710.6640021316281,1219.5867306155076,177.6306083002063,179.42272842661464
18,519.4438742783835,413.3346162069703,568.4339167169584,589.130657815329,627.049653259362,837.8490984743412,711.4684420772304,1217.0021304926765,177.68913309538658,179.29123278457945
19,520.707191780822,412.0109160958904,569.3608774038462,587.2986778846154,628.2790762381748,835.9262659988871,712.5297872340426,1214.7688829787235,177.81889666016124,179.2062835010682
20,521.7911120652641,410.4959209961357,570.7879154078549,585.5006042296072,629.678799666574,834.0494581828285,713.8860215053763,1213.222311827957,177.6889029481512,179.19133549670076
21,521.8038536479758,408.9335353972721,570.8609946075494,584.0398442180947,630.3492863140218,832.2434928631402,714.5867524805578,1211.512469831054,177.82759093821855,179.04425423846257
22,521.3003236245954,407.4891046386192,570.6094868735083,582.8374105011933,630.3978163493841,830.7639977603584,715.2317400644469,1209.9183673469388,177.85184817265346,179.05372748580902
23,521.1150042992261,406.27665520206364,570.3134193935755,581.2326628640049,630.4763239002522,829.3818996917904,715.9076424520659,1208.46232784229,177.9219758071345,179.07206947245172
24,520.8930492791048,405.6395523993975,570.1551312649165,580.5095465393795,630.4416129935593,828.2693923270792,716.2730727470141,1207.3029315960912,177.94290513482287,179.08353708582868
25,520.5824720068906,404.8434539190353,570.1587918660288,579.5959928229665,630.7768107804604,827.6007860752386,716.7906156767019,1206.7575264442637,177.89675319144925,179.04643810633905
26,521.9474139796581,404.46851330880764,571.2008343265793,579.0902860548272,631.6791443850267,827.2144666479032,717.5570306150095,1206.4874017881332,177.9467742880932,179.0599274246076
27,523.5584668687744,404.1056734517107,572.5726265348907,579.0371368673256,632.7935086737549,827.0542809177392,718.3576017130621,1206.191113490364,177.99545839576325,179.06969927602506
28,524.961820534944,404.23641069887833,573.7761862130707,579.129811996419,634.0781382228491,827.3193229901269,719.4672264355363,1206.5731310942579,178.061473095758,179.03219425871885
29,526.2020815264527,404.5735039028621,575.1007451564828,579.2900149031296,635.3961203261175,827.7444475681755,720.752097428958,1207.3499323410012,178.0053647492861,179.03151167107765
30,526.6207713854773,404.967032967033,575.7136066547831,579.9815805109923,635.9784011220196,828.0019635343618,721.6687348260049,1207.8303210142972,177.9880520169852,179.05601087221459
