frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
0,474.2517037037037,682.3811851851851,320.31722196152043,905.5216643203503,328.07472437729683,1058.4732543895468,351.9137199434229,1184.6547226151185,142.4964910988471,172.20489892035795
1,476.2393013100437,682.4355167394468,321.3783106096223,905.4619965522645,329.13712824653476,1058.6910240882787,353.20177902621725,1185.2024032459424,142.3266560187415,172.12873848332586
2,475.33231972198087,681.8782218360845,320.3653996558736,905.4320350383231,328.1586725782614,1058.7011957544,352.183908045977,1185.213824594552,142.3595909039034,172.15816011947112
3,471.72317126587825,681.7319316688568,316.38503850385035,905.3638220964953,324.1632378647304,1058.6581955089416,348.25547785547786,1185.391142191142,142.31085202760417,172.141081966116
4,466.6252723311547,681.3693536673928,311.50312402374254,905.1605748203685,319.18864617044227,1058.5326321467098,343.11730709153386,1185.2335207747578,142.40330660201886,172.17382757778051
5,464.6073752711497,681.3460592913955,309.37386966011843,905.3493919550982,317.1169684775318,1059.0490945674044,341.1415199111534,1185.9008408694272,142.39416538156422,172.1597403666539
6,463.86409031697787,682.630481980026,308.8204164709566,906.217472992015,316.22271209084835,1059.5573814295255,340.262515842839,1186.1281685678073,142.4973600404283,172.00954819618443
7,462.5158108500145,683.0007252683492,307.602948169282,906.1973371374228,315.1972378653794,1059.1551354250469,339.0766376250403,1185.8536624717651,142.39447764345576,172.16881111956735
8,461.9123419101614,682.5438290449193,307.1379256482349,905.292877225867,314.7124661246612,1058.2562330623305,338.4689048760991,1184.190087929656,142.37207919164442,172.15203210567952
9,463.20836965998257,682.7265329845974,308.959072517896,905.3039215686274,316.31228070175433,1058.0446693657218,340.25176621708414,1183.8863198458573,142.5212983950005,171.98523009089615
10,462.9596879063719,682.7420892934547,308.99653597858605,904.9483545898283,316.5354752342704,1057.4939759036145,340.8787586428686,1183.7401511497023,142.45322736634046,171.91525844686828
11,461.3672092682211,682.2490101187857,307.9900142653352,904.468378506895,315.51592442645074,1056.82645074224,339.9888784461153,1182.517700501253,142.55842442534274,171.80986532235008
12,460.20584795321633,681.5812865497076,307.3183396464646,903.9894255050505,314.60854141083365,1056.2544685495975,338.54623450905626,1182.0616460120748,142.75350601747357,171.96807909475882
13,459.212828416263,680.6627036547776,306.3674804531674,903.2926440082974,313.4254599567099,1055.53125,337.0373062015504,1181.6387273901807,142.87426489800913,172.04936974702034
14,458.04996336996334,679.5885714285714,305.48574613792005,902.6045548654243,312.4645074224021,1054.7539811066126,336.07860262008734,1180.3258935791687,142.99795552184088,171.975965778671
15,457.1366313309776,678.2535335689046,305.20657726692207,901.9190613026819,312.2693616442085,1053.9575336872192,335.98411154345,1179.495298313878,143.1530713169036,171.96228299551743
16,456.0130747759659,677.4733362714852,304.4925588094095,901.0852936469835,311.57135120498236,1053.0810993772,335.24375917767986,1178.1150269211944,143.2117792807925,171.94567437382503
17,454.68128784522224,676.1696942844484,303.61092477240055,900.4647819837087,311.0125034350096,1052.129980763946,334.650284185891,1177.351554663992,143.2444570629938,172.10413437333426
18,453.5258645742516,675.3475733798314,302.59259259259255,898.8960727969348,310.12317356274747,1050.5108562064727,334.19647231749144,1176.0300506287765,143.1304562740529,171.98658878654493
19,453.33585073300753,674.0996594106323,302.8136924803591,897.5129068462402,310.35763035763034,1048.9108654108652,334.32487392223845,1174.2804620139905,143.17771938934996,172.02980270527416
20,454.0613060861839,673.2752850584925,303.6856042368801,896.2802118440057,311.4183955739972,1047.352835408022,335.88367640019146,1172.5090154779,143.07741752229802,171.86958876712515
21,454.6715490457168,671.3953247521822,304.44492475184114,894.4095421069484,312.1267080745342,1045.5320910973085,336.34143242814037,1170.7006511037,143.1251165163274,171.96091370043402
22,454.9450095827805,669.9942503317117,304.5017645171639,893.0538979788258,312.4787029403682,1044.2956856279197,336.943453815261,1169.6665060240964,142.9830358243352,171.9772635807956
23,454.2663100014861,668.9967305691781,304.1984928651595,892.0152316818983,312.4061052057781,1043.214908694467,337.0772637795276,1168.1819225721783,142.9564730206596,171.93935260687797
