frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
0,443.60255548083387,648.2900694911455,351.010885341074,985.4920174165458,341.8751589117722,1164.4983473175691,365.6089778258518,1330.5909500630971,167.5672870788171,168.94616684592984
1,443.64265065599284,647.9408494551923,350.32828646959865,984.6075462629175,341.11299435028246,1163.8061119671288,364.6845450933651,1330.019268970997,167.45199477247778,168.98456743382178
2,442.8762794837561,647.4699599465955,349.31426553672316,984.2582391713746,340.2074646074646,1163.5217503217502,364.0909929863418,1329.6028054632704,167.38254889568393,168.90840668384416
3,441.08288409703505,647.1698113207547,347.6981721981722,984.1546416546416,337.7209723299715,1163.5782260149986,360.8113963225924,1330.129801565629,167.69373214344375,168.92415861873758
4,439.52167007034257,648.0984796914,346.51935256861367,985.1102509969504,337.84658087307594,1164.2170073176885,362.3983870967742,1331.0611111111111,167.344769298414,168.85653497175772
5,437.8333333333333,649.1305220883534,345.89749103942654,986.4872162485065,339.45433436532505,1165.5479876160991,366.74863078375824,1331.3588290840414,166.81682010349823,168.59152185977885
6,436.69975073646043,650.5930206208927,344.3212792127921,987.8169741697417,338.47747747747746,1166.9660231660232,365.7262918796139,1332.2659473783833,166.54864454290276,168.77096501963177
7,435.397547380156,651.5253065774805,343.16367552045944,988.6393874132566,337.1813458041049,1167.5936606910884,364.7648063781321,1333.2141230068337,166.61308445996937,168.62974380083656
8,434.26980920314253,651.8399551066217,342.08014440433215,989.2067388688326,336.03333333333336,1168.5038759689924,363.93432607865594,1333.7688048873615,166.64791896966253,168.4857784531123
9,433.5428699350794,651.8853816879337,341.0445246690734,989.1412755716003,335.43867802736895,1168.4797314743093,363.7002494722702,1333.6538092496642,166.45316788906058,168.50021840131018
10,433.3553737786866,651.8243581004317,340.8705772811918,988.9031657355679,335.1332312404288,1168.4295558958652,363.4859529233105,1333.7536066818525,166.48768494267762,168.43811580418455
11,433.2836689038031,651.6536912751678,340.994828396803,988.8704748472026,335.39115908506807,1168.3479825237728,363.68822170900694,1333.6728252501923,166.48250310624547,168.49903467186067
12,433.41767068273094,651.4598393574297,341.2349765258216,988.7720657276994,335.9415296267293,1168.0882276168102,364.37531005533293,1333.5079183361952,166.40598259082458,168.55591984940307
13,433.1373342324118,650.7199370645088,341.2147619047619,988.2795238095238,336.80244029075806,1167.5794392523364,365.78131176999096,1333.3311769991014,166.17654941573792,168.67335457390735
14,432.0201072386059,649.2645218945487,339.8821337060331,986.7447006755182,337.2754192872117,1166.4850628930817,366.84560439560437,1332.2261904761904,165.56029150773415,169.0533046129373
15,430.5111561866126,646.9400495830515,337.8830863326276,984.7068924958833,339.52881806108894,1164.8401062417,372.3688739244294,1330.0078563411896,164.1409641335904,169.27807318913892
16,428.3640439363371,644.356646491818,335.9418250058644,982.7112362186252,342.92714723926383,1162.226482617587,378.37358635230976,1326.9988499137435,162.49385850431406,170.0877234800005
17,426.4455128205128,642.1233974358975,333.81261770244816,980.965395480226,345.05253761795456,1160.7171639887783,382.23508353221956,1324.9655926809862,161.1319754077466,170.82244483473363
18,424.3396955237445,640.4848897977732,331.520683020683,979.2477152477152,348.387171561051,1159.2022153529108,389.90617555433386,1322.5798057540771,159.3228597122376,171.09579390597955
19,422.20963801909835,638.3399955585165,332.95589298626174,978.6657025789345,362.16355140186914,1156.8019210799584,409.9356846473029,1317.829529737206,155.99306702551283,172.78743946149999
20,420.1456375838926,637.2769574944072,333.2234848484848,978.5262784090909,369.2078461938165,1155.4047804624577,422.7371683129963,1315.2953709083863,154.21026516931073,172.98949900150907
21,417.32035519125685,635.7422586520947,333.32721280602635,977.5875706214689,374.0642201834862,1153.0922528032618,431.10737736577823,1310.9860950173813,153.1278707365247,173.20418237755464
22,413.57948384298413,633.3469963131641,332.2904385334292,975.3302180685357,376.93149987267634,1150.1395467277819,438.2194616977225,1305.9681912290607,152.30353672360454,172.85556477753363
23,409.91908947487036,630.6279017354068,331.33382461311714,972.8292802751166,380.9894764535648,1146.8992370428834,446.6632390745501,1301.4748928877464,151.1450192054408,172.90253479059433
24,405.57072735385987,628.5066934404284,328.20559334845046,969.363063744016,387.6921850079745,1140.3418394471025,464.38590323120707,1289.5504771471622,148.02836889383556,171.9803958828932
25,402.2949319044429,628.2051797276177,325.8824706176544,967.328832208052,391.3369820172009,1135.7362522804274,476.5003858024691,1279.8327546296296,146.06249402265112,170.65570636853082
26,399.5797385620915,628.5039215686274,325.50986342943855,966.8386444107233,396.538213998391,1133.227943148297,487.35044213763933,1272.9646289888503,144.53466096756605,170.0976146055708
27,396.5516795865633,628.9909560723514,322.6222222222222,965.8462324393358,398.1333333333333,1130.6151147098515,495.53127299484913,1266.2775938189845,143.00029984296143,168.9450818214368
28,394.08664495114004,630.329207383279,318.94155181214904,965.9869831546707,397.9370100027034,1128.8469856718032,500.4729411764706,1260.536862745098,141.50526509026932,167.9708463504621
29,394.38878059345893,633.2802685726662,318.9126681898959,968.4206651434374,399.07441471571906,1130.5610367892978,503.5819688700222,1259.9478471801092,141.00064116070314,167.37936280273274
30,397.1209401709402,637.8427350427351,321.7316277903185,972.4050664660144,403.37009397457155,1134.0685461580983,509.61346915676285,1261.2612714582153,140.5079066706369,166.92150676479994
31,398.2943641315734,641.2183113345903,321.69552012148824,974.6712224753227,406.1118421052632,1134.8876096491229,516.7600504777357,1257.7310257797008,139.27852044577875,165.77409962717888
32,397.66204578869986,643.4507456416719,320.8169336384439,976.1253496058987,409.10829931972785,1134.1287074829931,526.465205288796,1250.19711203897,137.79706817010947,163.87993911137173
33,397.6814398668331,645.5605493133583,319.2013227513227,977.452380952381,412.59322516367774,1132.0424138912608,536.8375365497076,1238.9506578947369,135.5587639078553,161.84821636480905
34,397.8950181740431,648.1748984391704,319.2238766980146,978.3853187042841,417.47824834341685,1129.1760299625466,547.4047868623339,1228.404437456324,133.51131853320385,160.45798741637907
35,398.0731707317073,650.3921694480102,318.8710382513661,979.5098360655737,422.3786496350365,1126.2746350364964,556.5899192132068,1215.466631541974,131.27520696873736,158.8004435811197
36,398.49669015588296,652.6156310057655,320.6691480562448,981.1191066997519,428.35921421889617,1122.9232927970065,567.8565688329838,1204.7178546470998,129.45743742936403,157.59936924059633
37,400.20792932557634,654.6468433527257,323.5666099773242,982.1510770975055,436.0093632958802,1119.70911360799,579.0177534428404,1192.9004479840717,127.56560757633123,156.3665190665884
38,401.53849490349165,656.0481457384516,328.6366313309776,982.136925795053,447.30835646006784,1114.0709219858154,594.0771235018238,1176.9909675178044,125.42724360012262,155.17558822696486
39,403.41921119592877,655.7423664122138,335.21651917404125,982.3539823008849,457.54442344045367,1109.6988027725267,607.0181140117209,1164.2031610726335,124.3561924648581,153.88282565707095
40,406.0896034297963,654.6158628081457,342.6029547553093,981.8008618036318,469.23531259817776,1104.544454916745,620.2532679738562,1152.6596405228756,123.12544793400359,153.5655739703194
41,408.12952258616997,652.91265253693,349.05060088551545,979.9193548387096,481.28877887788775,1096.5138613861386,634.1875901875901,1135.456277056277,121.16173115978236,152.8864406803603
42,410.97773576979625,651.1497584541063,354.8997562461913,977.9238269347957,490.36815447926557,1088.9392212725545,644.5622932745314,1117.8614479970597,119.59665168142408,151.28916502530024
43,414.68770833333326,649.3102083333333,359.1890547263681,975.1623134328358,495.78392119478866,1085.1398156974894,650.1972674527418,1109.8542017593113,119.1730250462363,150.2544543405935
44,417.8706658157838,646.6711338013189,362.24228395061726,971.6848765432097,499.65001601024653,1080.3422990714057,653.358921869669,1100.5549300580005,118.62330118586513,149.15561401871335
45,420.383407596011,642.3891364311478,363.60284360189576,967.0382306477093,502.0263671875,1073.0016276041665,655.9812834224599,1089.558110516934,117.51351581950146,148.70395640498572
46,422.5545609548167,638.2909207161125,365.2710862122627,962.1789604730781,503.347947761194,1067.9073383084576,656.9534510433386,1081.7645799892991,117.41232046532302,147.71283504933425
47,424.94569168270255,634.6617489843917,367.803492063492,958.2292063492063,506.46519088867495,1062.5107475136347,658.1770102536427,1072.9753552797265,116.93005998135092,147.00057162499738
48,427.4429487179487,631.998076923077,371.2610479797979,954.594696969697,510.6245647356758,1056.9601139601139,662.9325699745547,1064.6921119592876,116.41878296239837,146.60809598357886
49,430.0691903259726,629.256992639327,373.79288637079003,951.8133459238275,513.2930771576699,1053.5843244891735,664.9550295857988,1059.7641025641026,116.21548861144755,146.22109424479487
50,431.97266709374327,626.5603245782618,375.10608913998743,948.6308851224105,514.491604477612,1050.6100746268658,667.0660106601066,1056.709717097171,116.17721481722343,146.0988868796061
51,432.5012853470437,624.0385604113111,375.1441358024691,946.0277777777778,514.346503606146,1048.36814048291,665.9081812831078,1054.0353148911124,116.22263207345063,145.8183984785765
