frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
0,480.6777626811594,530.7871376811594,429.9243869209809,866.1805177111717,429.34859247566425,1074.7392791370692,426.725955204216,1235.3085638998682,171.5531903583389,179.22243341027757
1,480.40277777777777,531.025390625,429.67759928603294,866.2235609103079,428.8648074369189,1074.964940239044,425.94749216300943,1235.6026645768025,171.61787840599158,179.1826708656318
2,480.3803391285683,531.1953208843099,429.4984547461368,866.4748344370861,428.9282534694946,1075.0141398271799,426.06484375,1235.64765625,171.52732217198277,179.1354303844741
3,480.3127280532303,531.2745224297059,429.5338132635253,866.6679755671901,429.19532071503676,1075.2936382754995,426.28478712357213,1236.0690550363447,171.48370538739073,179.05584361771355
4,479.9614968635085,531.3752974259139,429.70196337966024,866.8532980366203,429.50621118012424,1075.7719979296066,426.68277865821443,1236.2889593238244,171.53330324161095,179.04597773090316
5,480.2616624257845,531.515903307888,430.2531756460797,867.1590013140604,430.1455252918288,1075.806225680934,427.3808773312319,1236.5069608615706,171.55522892514307,179.04395899849953
6,480.9220779220779,531.6792207792208,430.8859764089122,867.1280034949759,430.1588785046729,1075.7767393561785,427.4912280701754,1236.3733961770097,171.71587901658128,179.2480178790413
7,481.08165475416934,531.9105479748754,430.9384715025907,867.4371761658031,430.29431788426285,1075.9434406912803,427.6414101552223,1236.5711654827676,171.677275943627,179.2308034554457
8,480.810546875,531.5709635416666,430.6379119663791,867.1966379119664,429.89859676992313,1075.3653693407466,427.343791901314,1236.3928667203004,171.70130843734867,179.2945280414838
9,480.1041951664386,531.4598723210214,430.4181585677749,866.5739556692241,429.6984256243214,1075.2538002171552,426.98234349919744,1235.8271803103262,171.76403300788326,179.22855153138195
10,479.631507775524,530.9860265945458,429.7564607971966,866.3644327639071,429.0659911665367,1075.0070148090413,426.7203435319377,1235.7444981213096,171.7309893300904,179.35355068877428
11,479.261569416499,530.6901408450705,429.33139284174206,866.1170763260026,428.6960167714884,1074.938679245283,426.0688,1235.5941333333333,171.70770361306512,179.23745100341296
12,479.0612244897959,529.8852315119595,428.8394097222222,865.7194010416666,428.25726895119413,1074.5031152647975,425.7505291005291,1235.0857142857142,171.65457089778718,179.26542372157584
13,478.45802552048355,529.7580031340945,428.5468409586056,865.6019607843137,427.89494470774093,1074.3791469194314,425.1986531986532,1234.8272468272467,171.72580545013645,179.2161515093636
14,478.30961968680083,530.0228187919463,428.4845161290323,865.6389247311828,427.69042025580785,1074.5251892456276,424.73740537718606,1234.8000522056902,171.7734380381382,179.1622752770278
15,478.48680416943887,529.9878021734309,427.9093937375083,865.7626027093048,427.2346473585411,1074.1949584338963,424.38808760683753,1234.8133012820513,171.61947340495828,179.17016118733252
16,477.13798663902327,530.3704215618521,427.2477624972713,865.7913119406243,426.58974358974353,1074.043956043956,423.82323629687903,1234.5942827170206,171.72093584465193,179.19384876751892
17,477.0076071922545,530.2491931765791,426.51938488195793,865.3530431015811,426.48153846153843,1073.856923076923,423.0168269230769,1234.7363782051282,171.44240806886643,178.7766646755752
18,476.8377520960797,530.3825062315884,426.38254172015405,865.410783055199,425.5552147239264,1074.1454498977505,422.75406341593384,1234.743938182787,171.66271699740196,179.22784361507627
19,476.72599428696986,530.1100856954515,426.14725228092504,865.3019308296201,425.45649367415433,1074.0074877356053,422.3622047244094,1234.5275590551182,171.60872767561045,179.0852989336722
20,476.8931347150259,529.9179620034541,426.34506291320105,865.2957986777564,425.4445324881141,1074.0174326465926,422.5228601807549,1234.5773524720894,171.6761074791464,179.20471816103975
21,476.89885947923386,530.3122444587906,426.31019108280253,865.7934182590233,425.5771704180064,1074.6610396570204,422.9228470524314,1235.151860907362,171.6258063557762,179.2535623864568
22,477.4038881607689,530.8647881170816,426.69279338123226,866.3884171565425,425.9437814903208,1075.1405462741977,423.34305227213025,1235.0315208825848,171.61093519102445,179.27370850043593
23,477.9378272251309,531.1263089005236,426.7987547253724,866.8356682232599,426.2065423087321,1075.469856718032,423.75816464237516,1235.8788124156545,171.5012748080358,179.28817730495078
